"","NULL.","NULL.GP","NULL.GS","NULL.MP","NULL.G","NULL.S","NULL.SOT","NULL.A","NULL.TKL","NULL.YC","NULL.RC","NULL.FC","NULL.FS","team.x","season.x","UID","players.val[nr.name, 2]","Market.value","team.y","season.y","players.val[nr.pos, 1]"
"154","Aaron Cresswell","9","9","810","0","7","2","2","16","1","0","10","6","west-ham-united","2015","Aaron Cresswell 2015","Aaron Cresswell","8,00 Mill. €","west-ham-united","2015","Left-Back"
"155","Josh Cullen","1","0","1","0","0","0","0","0","0","0","0","0","west-ham-united","2015","Josh Cullen 2015",NA,NA,NA,NA,NA
"156","Matthew Jarvis","3","0","74","0","0","0","0","2","0","0","1","0","west-ham-united","2015","Matthew Jarvis 2015",NA,NA,NA,NA,NA
"157","Nikica Jelavic","3","0","58","0","5","0","1","1","1","0","1","2","west-ham-united","2015","Nikica Jelavic 2015","Nikica Jelavic","5,00 Mill. €","west-ham-united","2015","Centre Forward"
"158","Carl Jenkinson","7","6","572","2","4","2","0","16","2","1","9","2","west-ham-united","2015","Carl Jenkinson 2015","Carl Jenkinson","8,00 Mill. €","west-ham-united","2015","Right-Back"
"159","Cheikhou Kouyate","8","8","706","3","13","5","1","20","0","0","6","12","west-ham-united","2015","Cheikhou Kouyate 2015",NA,NA,NA,NA,NA
"160","Manuel Lanzini","7","6","476","2","15","3","1","4","2","0","4","6","west-ham-united","2015","Manuel Lanzini 2015","Manuel Lanzini","6,00 Mill. €","west-ham-united","2015","Attacking Midfield"
"161","Modibo Maiga","3","0","25","1","2","2","0","0","0","0","1","0","west-ham-united","2015","Modibo Maiga 2015",NA,NA,NA,NA,NA
"162","Victor Moses","5","5","337","1","8","1","2","6","0","0","4","6","west-ham-united","2015","Victor Moses 2015","Victor Moses","7,50 Mill. €","west-ham-united","2015","Left Wing"
"163","Mark Noble","9","9","754","2","6","2","1","30","3","1","8","21","west-ham-united","2015","Mark Noble 2015","Mark Noble","7,00 Mill. €","west-ham-united","2015","Central Midfield"
"164","Kevin Nolan","2","1","56","0","0","0","0","1","0","0","0","0","west-ham-united","2015","Kevin Nolan 2015",NA,NA,NA,NA,NA
"165","Pedro Obiang","6","3","379","0","1","0","1","11","1","0","6","3","west-ham-united","2015","Pedro Obiang 2015","Pedro Obiang","8,00 Mill. €","west-ham-united","2015","Central Midfield"
"166","Angelo Ogbonna","5","5","347","0","0","0","0","2","1","0","4","3","west-ham-united","2015","Angelo Ogbonna 2015","Angelo Ogbonna","9,00 Mill. €","west-ham-united","2015","Centre Back"
"167","Reece Oxford","3","2","132","0","0","0","0","1","0","0","0","1","west-ham-united","2015","Reece Oxford 2015","Reece Oxford","750 Th. €","west-ham-united","2015","Defensive Midfield"
"168","Dimitri Payet","9","9","808","5","17","9","3","11","1","0","5","12","west-ham-united","2015","Dimitri Payet 2015","Dimitri Payet","15,00 Mill. €","west-ham-united","2015","Attacking Midfield"
"169","Darren Randolph","3","3","270","0","0","0","0","0","0","0","0","0","west-ham-united","2015","Darren Randolph 2015","Darren Randolph","1,00 Mill. €","west-ham-united","2015","Keeper"
"170","Winston Reid","8","8","696","0","5","1","0","21","1","0","6","13","west-ham-united","2015","Winston Reid 2015","Winston Reid","9,00 Mill. €","west-ham-united","2015","Centre Back"
"171","Diafra Sakho","9","9","786","3","29","10","0","5","0","0","6","11","west-ham-united","2015","Diafra Sakho 2015","Diafra Sakho","10,00 Mill. €","west-ham-united","2015","Centre Forward"
"172","James Tomkins","8","7","685","0","2","0","0","14","2","0","4","5","west-ham-united","2015","James Tomkins 2015","James Tomkins","6,00 Mill. €","west-ham-united","2015","Centre Back"
"173","Mauro Zárate","5","2","178","1","7","2","0","4","0","0","2","5","west-ham-united","2015","Mauro Zárate 2015","Mauro Zárate","3,00 Mill. €","west-ham-united","2015","Secondary Striker"
"174","Rolando Aarons","3","0","57","0","0","0","0","1","0","0","0","0","newcastle-united","2015","Rolando Aarons 2015","Rolando Aarons","1,00 Mill. €","newcastle-united","2015","Left Wing"
"175","Vurnon Anita","8","7","605","0","3","0","1","28","2","0","10","2","newcastle-united","2015","Vurnon Anita 2015","Vurnon Anita","4,00 Mill. €","newcastle-united","2015","Defensive Midfield"
"176","Papiss Cissé","7","4","280","1","6","3","0","0","0","0","2","0","newcastle-united","2015","Papiss Cissé 2015",NA,NA,NA,NA,NA
"177","Jack Colback","8","8","684","0","1","0","0","21","4","0","11","15","newcastle-united","2015","Jack Colback 2015","Jack Colback","7,50 Mill. €","newcastle-united","2015","Central Midfield"
"178","Fabricio Coloccini","9","9","810","0","2","1","0","19","2","0","3","3","newcastle-united","2015","Fabricio Coloccini 2015","Fabricio Coloccini","2,00 Mill. €","newcastle-united","2015","Centre Back"
"179","Siem De Jong","5","0","88","0","3","2","0","1","0","0","0","0","newcastle-united","2015","Siem De Jong 2015",NA,NA,NA,NA,NA
"180","Paul Dummett","1","1","65","0","0","0","0","1","0","0","0","0","newcastle-united","2015","Paul Dummett 2015","Paul Dummett","3,50 Mill. €","newcastle-united","2015","Left-Back"
"181","Rob Elliot","1","1","90","0","0","0","0","0","0","0","0","1","newcastle-united","2015","Rob Elliot 2015","Rob Elliot","1,00 Mill. €","newcastle-united","2015","Keeper"
"182","Yoan Gouffran","1","1","66","0","0","0","0","4","0","0","1","0","newcastle-united","2015","Yoan Gouffran 2015","Yoan Gouffran","6,00 Mill. €","newcastle-united","2015","Left Wing"
"183","Massadio Haidara","7","6","555","0","3","0","0","19","1","0","9","10","newcastle-united","2015","Massadio Haidara 2015","Massadio Haidara","2,00 Mill. €","newcastle-united","2015","Left-Back"
"184","Daryl Janmaat","8","8","671","1","9","6","1","19","1","1","10","2","newcastle-united","2015","Daryl Janmaat 2015","Daryl Janmaat","7,50 Mill. €","newcastle-united","2015","Right-Back"
"185","Tim Krul","8","8","720","0","0","0","0","0","0","0","0","1","newcastle-united","2015","Tim Krul 2015","Tim Krul","8,00 Mill. €","newcastle-united","2015","Keeper"
"186","Jamaal Lascelles","1","0","37","0","0","0","0","1","0","0","0","0","newcastle-united","2015","Jamaal Lascelles 2015","Jamaal Lascelles","4,00 Mill. €","newcastle-united","2015","Centre Back"
"187","Kevin Mbabu","2","2","143","0","1","1","0","22","0","0","2","2","newcastle-united","2015","Kevin Mbabu 2015",NA,NA,NA,NA,NA
"188","Chancel Mbemba","9","9","810","0","3","0","0","26","1","0","5","3","newcastle-united","2015","Chancel Mbemba 2015","Chancel Mbemba","10,00 Mill. €","newcastle-united","2015","Centre Back"
"189","Aleksandar Mitrovic","7","5","390","2","11","4","0","11","2","1","13","18","newcastle-united","2015","Aleksandar Mitrovic 2015","Aleksandar Mitrovic","14,00 Mill. €","newcastle-united","2015","Centre Forward"
"190","Gabriel Obertan","5","3","279","0","3","2","1","3","1","0","2","2","newcastle-united","2015","Gabriel Obertan 2015","Gabriel Obertan","1,00 Mill. €","newcastle-united","2015","Right Wing"
"191","Ayoze Pérez","7","5","486","2","12","3","2","19","0","0","7","11","newcastle-united","2015","Ayoze Pérez 2015","Ayoze Pérez","7,00 Mill. €","newcastle-united","2015","Centre Forward"
"192","Moussa Sissoko","8","8","638","0","5","0","4","8","1","0","7","8","newcastle-united","2015","Moussa Sissoko 2015","Moussa Sissoko","15,00 Mill. €","newcastle-united","2015","Attacking Midfield"
"193","Steven Taylor","2","1","135","0","0","0","0","0","0","0","0","0","newcastle-united","2015","Steven Taylor 2015","Steven Taylor","3,00 Mill. €","newcastle-united","2015","Centre Back"
"194","Florian Thauvin","5","3","280","0","4","1","0","5","1","0","4","7","newcastle-united","2015","Florian Thauvin 2015","Florian Thauvin","14,00 Mill. €","newcastle-united","2015","Right Wing"
"195","Cheick Tioté","4","1","103","0","0","0","0","4","1","0","2","3","newcastle-united","2015","Cheick Tioté 2015",NA,NA,NA,NA,NA
"196","Ivan Toney","1","0","5","0","0","0","0","0","0","0","0","0","newcastle-united","2015","Ivan Toney 2015",NA,NA,NA,NA,NA
"197","Georginio Wijnaldum","9","9","790","6","12","7","1","10","1","0","4","14","newcastle-united","2015","Georginio Wijnaldum 2015","Georginio Wijnaldum","18,00 Mill. €","newcastle-united","2015","Attacking Midfield"
"198","Gabriel Agbonlahor","5","5","435","0","5","4","1","0","0","0","9","4","aston-villa","2015","Gabriel Agbonlahor 2015","Gabriel Agbonlahor","4,00 Mill. €","aston-villa","2015","Centre Forward"
"199","Jordan Amavi","9","8","746","0","6","1","2","40","2","0","18","10","aston-villa","2015","Jordan Amavi 2015","Jordan Amavi","10,00 Mill. €","aston-villa","2015","Left-Back"
"200","Jordan Ayew","5","3","272","0","6","0","0","10","2","0","6","6","aston-villa","2015","Jordan Ayew 2015","Jordan Ayew","9,00 Mill. €","aston-villa","2015","Centre Forward"
"201","Leandro Bacuna","6","5","438","0","6","1","0","7","2","0","4","1","aston-villa","2015","Leandro Bacuna 2015","Leandro Bacuna","3,00 Mill. €","aston-villa","2015","Right Midfield"
"202","Ciaran Clark","4","4","360","0","0","0","0","6","3","0","4","5","aston-villa","2015","Ciaran Clark 2015","Ciaran Clark","5,00 Mill. €","aston-villa","2015","Centre Back"
"203","José Crespo","1","1","90","0","0","0","0","1","0","0","1","1","aston-villa","2015","José Crespo 2015",NA,NA,NA,NA,NA
"204","Rudy Gestede","9","5","572","3","21","7","0","3","1","0","8","3","aston-villa","2015","Rudy Gestede 2015","Rudy Gestede","7,00 Mill. €","aston-villa","2015","Centre Forward"
"205","Carles Gil","5","3","269","1","5","2","0","4","2","0","2","7","aston-villa","2015","Carles Gil 2015","Carles Gil","4,00 Mill. €","aston-villa","2015","Right Wing"
"206","Jack Grealish","6","5","474","1","9","4","0","2","1","0","4","14","aston-villa","2015","Jack Grealish 2015","Jack Grealish","4,50 Mill. €","aston-villa","2015","Left Wing"
"207","Idrissa Gueye","7","7","630","0","9","2","0","26","2","0","21","20","aston-villa","2015","Idrissa Gueye 2015","Idrissa Gueye","9,00 Mill. €","aston-villa","2015","Central Midfield"
"208","Brad Guzan","9","9","810","0","0","0","0","1","0","0","0","1","aston-villa","2015","Brad Guzan 2015","Brad Guzan","4,00 Mill. €","aston-villa","2015","Keeper"
"209","Alan Hutton","6","5","454","0","0","0","1","9","0","0","1","8","aston-villa","2015","Alan Hutton 2015","Alan Hutton","2,00 Mill. €","aston-villa","2015","Right-Back"
"210","Joleon Lescott","5","5","405","0","2","0","0","6","0","0","4","3","aston-villa","2015","Joleon Lescott 2015","Joleon Lescott","3,00 Mill. €","aston-villa","2015","Centre Back"
"211","Micah Richards","9","9","810","0","6","0","1","23","0","0","6","8","aston-villa","2015","Micah Richards 2015","Micah Richards","5,50 Mill. €","aston-villa","2015","Centre Back"
"212","Kieran Richardson","2","1","76","0","0","0","0","5","1","0","4","0","aston-villa","2015","Kieran Richardson 2015","Kieran Richardson","1,50 Mill. €","aston-villa","2015","Left-Back"
"213","Carlos Sánchez","7","5","422","0","6","1","0","20","0","0","6","0","aston-villa","2015","Carlos Sánchez 2015","Carlos Sánchez","5,00 Mill. €","aston-villa","2015","Defensive Midfield"
"214","Scott Sinclair","7","7","511","2","6","3","0","1","0","0","2","6","aston-villa","2015","Scott Sinclair 2015","Scott Sinclair","3,50 Mill. €","aston-villa","2015","Left Wing"
"215","Adama Traoré","3","0","64","0","0","0","0","0","0","0","1","6","aston-villa","2015","Adama Traoré 2015","Adama Traoré","8,00 Mill. €","aston-villa","2015","Right Wing"
"216","Jordan Veretout","5","3","277","0","3","0","0","4","0","0","4","4","aston-villa","2015","Jordan Veretout 2015","Jordan Veretout","8,00 Mill. €","aston-villa","2015","Central Midfield"
"217","Ashley Westwood","9","9","795","0","9","1","1","20","2","0","12","1","aston-villa","2015","Ashley Westwood 2015","Ashley Westwood","4,00 Mill. €","aston-villa","2015","Defensive Midfield"
"218","Ryan Bertrand","3","3","270","0","1","1","0","6","2","0","5","3","southampton","2015","Ryan Bertrand 2015","Ryan Bertrand","10,00 Mill. €","southampton-fc","2015","Left-Back"
"219","Steven Caulker","1","1","90","0","2","2","0","0","0","0","0","1","southampton","2015","Steven Caulker 2015","Steven Caulker","7,50 Mill. €","southampton-fc","2015","Centre Back"
"220","Cedric","8","8","612","0","5","1","1","19","1","0","11","6","southampton","2015","Cedric 2015",NA,NA,NA,NA,NA
"221","Jordy Clasie","1","0","30","0","0","0","0","5","0","0","3","0","southampton","2015","Jordy Clasie 2015","Jordy Clasie","10,00 Mill. €","southampton-fc","2015","Defensive Midfield"
"222","Kelvin Davis","1","1","90","0","0","0","0","0","0","0","0","0","southampton","2015","Kelvin Davis 2015","Kelvin Davis","250 Th. €","southampton-fc","2015","Keeper"
"223","Steven Davis","9","8","622","1","2","1","0","14","2","0","6","5","southampton","2015","Steven Davis 2015","Steven Davis","5,50 Mill. €","southampton-fc","2015","Central Midfield"
"224","José Fonte","9","9","810","1","6","3","0","21","3","0","6","3","southampton","2015","José Fonte 2015","José Fonte","5,00 Mill. €","southampton-fc","2015","Centre Back"
"225","Juanmi","2","0","13","0","0","0","0","0","0","0","0","0","southampton","2015","Juanmi 2015","Juanmi","7,00 Mill. €","southampton-fc","2015","Secondary Striker"
"226","Shane Long","4","1","176","1","7","2","0","3","0","0","2","3","southampton","2015","Shane Long 2015","Shane Long","9,00 Mill. €","southampton-fc","2015","Centre Forward"
"227","Sadio Mane","9","8","664","2","26","11","4","18","1","0","13","27","southampton","2015","Sadio Mane 2015",NA,NA,NA,NA,NA
"228","Cuco Martina","3","0","108","0","0","0","0","2","0","0","0","0","southampton","2015","Cuco Martina 2015","Cuco Martina","1,50 Mill. €","southampton-fc","2015","Right-Back"
"229","Graziano Pelle","9","9","799","5","38","11","2","5","3","0","7","10","southampton","2015","Graziano Pelle 2015",NA,NA,NA,NA,NA
"230","Jay Rodríguez","8","2","249","0","13","4","0","7","0","0","3","1","southampton","2015","Jay Rodríguez 2015","Jay Rodríguez","13,00 Mill. €","southampton-fc","2015","Left Wing"
"231","Oriol Romeu","6","4","354","0","4","1","0","19","4","0","8","2","southampton","2015","Oriol Romeu 2015","Oriol Romeu","5,00 Mill. €","southampton-fc","2015","Defensive Midfield"
"232","Maarten Stekelenburg","8","8","720","0","0","0","0","0","0","0","0","1","southampton","2015","Maarten Stekelenburg 2015","Maarten Stekelenburg","1,00 Mill. €","southampton-fc","2015","Keeper"
"233","Dusan Tadic","8","8","632","2","13","3","2","12","0","0","5","10","southampton","2015","Dusan Tadic 2015","Dusan Tadic","15,00 Mill. €","southampton-fc","2015","Right Wing"
"234","Matt Targett","6","6","495","0","1","1","0","14","1","0","2","5","southampton","2015","Matt Targett 2015","Matt Targett","2,00 Mill. €","southampton-fc","2015","Left-Back"
"235","Virgil Van Dijk","5","5","450","2","5","4","0","5","1","0","3","2","southampton","2015","Virgil Van Dijk 2015",NA,NA,NA,NA,NA
"236","Victor Wanyama","8","8","720","0","10","3","0","27","3","0","15","7","southampton","2015","Victor Wanyama 2015","Victor Wanyama","15,00 Mill. €","southampton-fc","2015","Defensive Midfield"
"237","James Ward-Prowse","8","5","510","0","8","2","1","8","1","0","5","4","southampton","2015","James Ward-Prowse 2015","James Ward-Prowse","9,00 Mill. €","southampton-fc","2015","Central Midfield"
"238","Maya Yoshida","8","5","496","0","1","1","0","13","0","0","3","4","southampton","2015","Maya Yoshida 2015","Maya Yoshida","5,00 Mill. €","southampton-fc","2015","Centre Back"
"239","Patrick Bamford","2","0","16","0","0","0","0","1","0","0","2","0","crystal-palace","2015","Patrick Bamford 2015","Patrick Bamford","5,00 Mill. €","crystal-palace","2015","Centre Forward"
"240","Yannick Bolasie","8","6","538","1","16","7","0","8","1","0","7","9","crystal-palace","2015","Yannick Bolasie 2015",NA,NA,NA,NA,NA
"241","Yohan Cabaye","9","9","768","4","21","8","1","42","3","0","13","16","crystal-palace","2015","Yohan Cabaye 2015","Yohan Cabaye","16,00 Mill. €","crystal-palace","2015","Central Midfield"
"242","Fraizer Campbell","3","0","65","0","1","0","0","2","1","0","4","1","crystal-palace","2015","Fraizer Campbell 2015","Fraizer Campbell","3,50 Mill. €","crystal-palace","2015","Centre Forward"
"243","Scott Dann","8","8","720","1","1","1","1","10","1","0","2","3","crystal-palace","2015","Scott Dann 2015","Scott Dann","3,00 Mill. €","crystal-palace","2015","Centre Back"
"244","Damien Delaney","5","5","450","1","1","1","0","9","0","0","3","0","crystal-palace","2015","Damien Delaney 2015","Damien Delaney","1,00 Mill. €","crystal-palace","2015","Centre Back"
"245","Dwight Gayle","5","3","271","0","7","0","0","6","0","1","7","14","crystal-palace","2015","Dwight Gayle 2015","Dwight Gayle","4,00 Mill. €","crystal-palace","2015","Centre Forward"
"246","Brede Hangeland","5","5","450","0","4","2","0","12","1","0","11","1","crystal-palace","2015","Brede Hangeland 2015","Brede Hangeland","1,00 Mill. €","crystal-palace","2015","Centre Back"
"247","Wayne Hennessey","3","3","270","0","0","0","0","0","1","0","0","0","crystal-palace","2015","Wayne Hennessey 2015","Wayne Hennessey","2,00 Mill. €","crystal-palace","2015","Keeper"
"248","Mile Jedinak","4","0","63","0","0","0","0","2","1","0","3","2","crystal-palace","2015","Mile Jedinak 2015","Mile Jedinak","6,00 Mill. €","crystal-palace","2015","Central Midfield"
